icao,name
BTA,ExpressJet
BTC,BAL Bashkirian Airlines
BTH,Baltijas Helicopters
BTI,Air Baltic
BTK,Baltyka
BTL,Baltia Air Lines
BTM,Air Batumi
BTP,Veritair Ltd
BTQ,Boutique Air (Priv)
BTR,Botir-Avia
BTS,Aerotaxis Albatros
BTT,BT-Slavuta
BTU,Rolls-Royce plc
BTV,Metro Batavia
BUB,Air Bourbon
BUC,Bulgarian Air Charter
BUE,Orebro Aviation
BUL,Blue Airlines
BUN,Buryat Airlines Aircompany
BUR,Air Bucharest
BUU,Baikotovitchestrian Airlines
BUZ,Buzz Stansted
BVA,Buffalo Airways
BVC,Bulgarian Aeronautical Centre
BVN,Baron Aviation Services
BVR,ACM Air Charter
BVT,Berjaya Air
BVU,Bellview Airlines
BVV,Spark+ Joint-Stock Company
BWA,Caribbean Airlines
BWG,Blue Wings
BWI,Blue Wing Airlines
BWL,BWA (2002) Ltd
BWY,Fleet Requirements Air Direction Unit
BXA,Bahrain Executive Air Services
BXH,Bar XH Air
BXI,Brussels International Airlines
BXR,Redding Aero Enterprises
BXS,Spantax S.A.
BYA,Berry Aviation
BYC,Northern Airlines Sanya
BYE,Bayu Indonesia Air
BYL,Bylina Joint-Stock Company
BYR,Berytos Airlines
BYT,Patriot Aviation Limited
BZA,Bizair Fluggesellschaft
BZD,Canadian Global Air Ambulance
BZE,BRAZIL AIR
BZF,Jet Aviation Business Jets
BZH,Brit Air
BZL,Aero Brazil
BZS,Aero Biniza
BZZ,Butane Buzzard Aviation Corporation
CAA,Atlantic Southeast Airlines
CAB,Chesapeake Air Service
CAC,Conquest Airlines
CAD,Chilliwack Aviation
CAE,Colibri Aviation
CAG,China National Aviation Corporation
CAH,Charlan Air Charter
CAI,Corendon Airlines
CAJ,Air Caraibes Atlantique
CAK,Congo Air
CAL,China Airlines
CAM,Camai Air
CAN,Crest Aviation
CAO,Air China Cargo
CAP,CanXplorer
CAQ,Cityair (Chester) Limited
CAR,Inter RCA
CAS,Christman Air System
CAT,Civil Air Transport
CAV,Calm Air
CAW,Comair
CAX,Central Air Express
CAY,Cayman Airways
CAZ,Cat Aviation
CBA,Civil Aviation Inspectorate of the Czech Republic
CBB,Cheboksary Airenterprise JSC
CBC,Caribair
CBD,Lockheed Martin Aeronautics
CBE,Aerovias Caribe
CBF,China Northern Airlines
CBG,GX Airlines
CBI,CABI
CBL,Cumberland Airways (Nicholson Air Service)
CBM,Cherokee Express
CBN,Swedish Civil Aviation Administration
CBO,Aerotaxi del Cabo
CBR,Cabair College of Air Training
CBS,Air Columbus
CBT,Catalina Flying Boats
CBV,Aero Cabo
CBY,Coningsby Flying Training Unit
CCA,Air China
CCB,CARICOM AIRWAYS (BARBADOS) INC.
CCC,CCML Airlines
CCE,Cairo Air Transport Company
CCF,CCF Manager Airline
CCG,Central Connect Airlines
CCH,Chilchota Taxi Aereo
CCI,Capital Cargo International Airlines
CCK,Flight Trac
CCM,Corse-Mediterranee
CCP,Champion Air
CCQ,Capital City Air Carriers
CCV,Centro De Helicopteros Corporativos
CCW,Coptrade Air Transport
CCX,Colt International
CCY,Cherry Air
CDA,Aerocardal
CDE,Comed Group
CDG,Shandong Airlines
CDI,Cards Air Services
CDL,Sunbird Airlines
CDM,Carga Aerea Dominicana
CDN,Canadian Airlines
CDP,Aero Condor Peru
CDR,Canadian Regional Airlines
CDS,Spectrem Air
CDT,Real Aero Club de Reus-Costa Dorado
CDU,Aerotrans
CDV,Airline Skol
CDY,Heliaviation Limited
CEA,RegionsAir
CEB,Cebu Pacific
CEC,Celtic Airways
CED,CEDTA (Compania Ecuatoriana De Transportes Aereos)
CEE,Servicios Aereos Centrales
CEF,Czech Air Force
CEG,Cega Aviation
CEL,CEIBA Intercontinental
CEM,Central Mongolia Airways
CEO,Comfort Express Virtual Charters
CEP,Chipola Aviation
CER,Cetraca Aviation Service
CES,China Eastern Airlines
CET,Centrafrican Airlines
CEV,Cente D'Essais En Vol
CEX,Capitol Air Express
CEY,Air Century
CFA,China Flying Dragon Aviation
CFC,Canadian Forces
CFD,Cranfield University
CFE,BA CityFlyer
CFF,Aerofan
CFG,Condor Flugdienst
